Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=bbf42349e251aa17848ddf8c46a606d6&df=true&MAX_DOWNLOAD_SERIES=500&DATASET=0&org.apache.struts.taglib.html.TOKEN=6daaefa0cae18e10a1620a716a31fa60&org.apache.struts.taglib.html.TOKEN=dde6f882908bd1fa6526a22ced1cbadb&org.apache.struts.taglib.html.TOKEN=274918004cd7878c61140693b749d336&org.apache.struts.taglib.html.TOKEN=cee2ea0d7dafc6eb3b7535f5eb59f646&FREQ.18=D&node=9691296&SERIES_MAX_NUM=50&legendPub=published&activeTab=EXR&start=05-01-2021&end=05-01-2023&submitOptions.x=0&submitOptions.y=0&trans=N&q=&type=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXR.D.AUD.EUR.SP00.A,EXR.D.BGN.EUR.SP00.A,EXR.D.BRL.EUR.SP00.A,EXR.D.CAD.EUR.SP00.A,EXR.D.CHF.EUR.SP00.A,EXR.D.CNY.EUR.SP00.A,EXR.D.CZK.EUR.SP00.A,EXR.D.DKK.EUR.SP00.A,EXR.D.GBP.EUR.SP00.A,EXR.D.HKD.EUR.SP00.A,EXR.D.HRK.EUR.SP00.A,EXR.D.HUF.EUR.SP00.A,EXR.D.IDR.EUR.SP00.A,EXR.D.ILS.EUR.SP00.A,EXR.D.INR.EUR.SP00.A,EXR.D.ISK.EUR.SP00.A,EXR.D.JPY.EUR.SP00.A,EXR.D.KRW.EUR.SP00.A,EXR.D.MXN.EUR.SP00.A,EXR.D.MYR.EUR.SP00.A,EXR.D.NOK.EUR.SP00.A,EXR.D.NZD.EUR.SP00.A,EXR.D.PHP.EUR.SP00.A,EXR.D.PLN.EUR.SP00.A,EXR.D.RON.EUR.SP00.A,EXR.D.RUB.EUR.SP00.A,EXR.D.SEK.EUR.SP00.A,EXR.D.SGD.EUR.SP00.A,EXR.D.THB.EUR.SP00.A,EXR.D.TRY.EUR.SP00.A,EXR.D.USD.EUR.SP00.A,EXR.D.ZAR.EUR.SP00.A
2022/6/1,1.4861,1.9558,5.0646,1.3536,1.0305,7.1586,24.748,7.4393,0.85158,8.4057,7.5345,395.03,15574.33,3.5682,83.051,137.1,138.68,1331.44,21.0678,4.6951,10.0438,1.6442,56.182,4.5913,4.9428,,10.4758,1.47,36.801,17.6223,1.0712,16.609
2022/5/31,1.4933,1.9558,5.0965,1.3573,1.0281,7.1402,24.714,7.4394,0.85138,8.4063,7.541,396.2,15580.15,3.5746,83.231,136.3,137.36,1329.32,20.987,4.6907,10.0983,1.6459,56.323,4.5805,4.9408,,10.5053,1.4687,36.751,17.5817,1.0713,16.745
2022/5/30,1.4982,1.9558,5.0629,1.3647,1.0327,7.1735,24.712,7.4391,0.8515,8.449,7.5305,392.18,15682.41,3.5722,83.475,136.9,137.25,1331.66,20.8994,4.6998,10.1256,1.6439,56.322,4.5855,4.9441,,10.518,1.4719,36.7,17.6416,1.0764,16.648
2022/5/27,1.4995,1.9558,5.0959,1.3661,1.0258,7.1831,24.7,7.4392,0.84875,8.4165,7.5379,392.83,15583.97,3.597,83.1915,137.9,136.05,1343.63,21.136,4.6952,10.179,1.6426,56.02,4.5858,4.9427,,10.5293,1.4679,36.589,17.582,1.0722,16.746
2022/5/26,1.511,1.9558,5.1741,1.3715,1.0283,7.2024,24.676,7.4409,0.85073,8.397,7.5355,391.72,15628.91,3.5935,83.0065,138.1,135.95,1352.69,21.1935,4.7045,10.2715,1.6541,55.975,4.6083,4.9423,,10.5983,1.4709,36.589,17.5588,1.0697,16.9312
2022/5/25,1.5126,1.9558,5.1736,1.372,1.0269,7.1334,24.648,7.4405,0.85295,8.3647,7.5355,388.25,15587.59,3.585,82.6666,138.3,135.34,1354.61,21.2213,4.6833,10.2704,1.6539,55.787,4.621,4.9416,,10.5419,1.4676,36.55,17.3954,1.0656,16.7628
2022/5/24,1.5152,1.9558,5.1793,1.3714,1.0334,7.1449,24.663,7.4411,0.8575,8.4143,7.5285,383.33,15711.88,3.5848,83.185,139.3,136.49,1353.65,21.2456,4.7076,10.289,1.6656,56.152,4.6015,4.9446,,10.5013,1.4722,36.609,17.2572,1.072,16.7814
2022/5/23,1.4982,1.9558,5.1623,1.3626,1.031,7.085,24.594,7.4413,0.84783,8.3664,7.5275,381.65,15609,3.5745,82.6795,139.1,136.05,1344.19,21.1273,4.6782,10.252,1.6463,55.686,4.621,4.947,,10.4918,1.4639,36.41,16.8672,1.0659,16.7437
2022/5/20,1.498,1.9558,5.1989,1.3526,1.028,7.0638,24.67,7.4424,0.8482,8.2999,7.5335,382.93,15501.99,3.533,82.1617,138.5,135.34,1340.58,21.0314,4.6422,10.262,1.6518,55.181,4.6365,4.9477,,10.4915,1.4588,36.284,16.8201,1.0577,16.7131
2022/5/19,1.5036,1.9558,5.2094,1.349,1.0265,7.1028,24.7,7.4423,0.84728,8.2594,7.5395,385.83,15416.76,3.5623,81.7115,139.5,134.46,1343.21,21.0043,4.6363,10.3102,1.6551,55.14,4.6423,4.9474,,10.5098,1.4576,36.343,16.8037,1.0525,16.8315
2022/5/18,1.498,1.9558,5.1974,1.3488,1.0486,7.0972,24.647,7.4419,0.8467,8.2591,7.535,382.88,15446,3.526,81.6455,138.9,135.76,1332.76,20.9204,4.6254,10.2125,1.6548,55.077,4.6443,4.9473,,10.4675,1.4598,36.399,16.7811,1.0523,16.7313
2022/5/17,1.4993,1.9558,5.2621,1.3517,1.0457,7.0899,24.712,7.4414,0.844,8.2744,7.5245,386.3,15433.23,3.5387,81.6515,138.7,136.32,1333.66,21.0273,4.6211,10.178,1.6561,55.137,4.6488,4.9478,,10.4393,1.4589,36.361,16.6027,1.0541,16.844
2022/5/16,1.5057,1.9558,5.2819,1.3473,1.0479,7.0786,24.71,7.4418,0.85045,8.1812,7.5225,385.85,15294.29,3.5474,81.081,138.3,135.01,1337.9,20.9324,4.5836,10.2188,1.6601,54.705,4.6675,4.9469,,10.4978,1.4531,36.274,16.3121,1.0422,16.9195
2022/5/13,1.5067,1.9558,5.3204,1.3505,1.0385,7.0513,24.74,7.4412,0.85115,8.1522,7.52,385,15193.55,3.5586,80.4315,140.1,133.91,1330.83,20.988,4.5673,10.2043,1.6633,54.449,4.6883,4.9455,,10.4905,1.45,36.109,16.0687,1.0385,16.7789
2022/5/12,1.5163,1.9558,5.4161,1.3569,1.0377,7.0691,24.925,7.4413,0.85293,8.1702,7.5235,382.2,15255.73,3.5981,80.667,139.7,133.85,1341.98,21.2531,4.5725,10.2898,1.6692,54.589,4.668,4.947,,10.5648,1.4529,36.15,16.0132,1.0408,16.8806
2022/5/11,1.5055,1.9558,5.3859,1.3685,1.0446,7.0893,25.365,7.4393,0.85393,8.2839,7.5365,379.13,15308.87,3.6148,81.4935,139.3,137.07,1343.99,21.387,4.6185,10.1793,1.6645,54.992,4.6575,4.947,,10.526,1.4622,36.492,16.1851,1.0553,16.9275
2022/5/10,1.5162,1.9558,5.4232,1.3707,1.0479,7.0967,25.014,7.4386,0.85595,8.2847,7.5385,380.15,15349.06,3.6587,81.5425,139.5,137.38,1346.56,21.4716,4.6248,10.2315,1.6707,55.289,4.6763,4.9458,,10.6075,1.4667,36.448,16.0883,1.0554,17.005
2022/5/9,1.5048,1.9558,5.4321,1.3656,1.0462,7.0886,25.055,7.4385,0.85235,8.2887,7.5335,383.23,15367.67,3.6239,81.7415,139.5,138.1,1345.48,21.4341,4.6285,10.0583,1.6584,55.67,4.6985,4.9467,,10.5818,1.4676,36.497,15.8941,1.0559,17.1332
2022/5/6,1.4888,1.9558,5.3183,1.356,1.0419,7.0506,24.665,7.44,0.85625,8.2969,7.5336,381.47,15312.44,3.5965,81.298,138.3,137.9,1343.9,21.3555,4.6191,9.9808,1.644,55.467,4.7028,4.949,,10.4686,1.4642,36.303,15.8078,1.057,16.9614
2022/5/5,1.4669,1.9558,5.2192,1.3483,1.0355,6.9944,24.606,7.4405,0.8519,8.2948,7.5398,378.65,15250.92,3.5916,80.6185,138,137.18,1330.89,21.2069,4.5955,9.8463,1.6273,55.364,4.6673,4.9485,,10.3748,1.4561,36.026,15.7051,1.0568,16.5862
2022/5/4,1.478,1.9558,5.24,1.3498,1.0324,6.9594,24.644,7.4409,0.84194,8.2655,7.5499,377.55,15201.44,3.5487,80.4035,137.2,136.84,1331.45,21.2947,4.5847,9.9042,1.6333,55.26,4.6875,4.947,,10.3968,1.4559,36.137,15.5769,1.0531,16.6489
2022/5/3,1.4825,1.9558,5.3143,1.357,1.0272,6.9759,24.662,7.4403,0.8413,8.2838,7.5555,382.15,15288.47,3.5597,80.842,137.6,137.06,1335.64,21.5025,4.5956,9.909,1.6366,55.455,4.6925,4.9475,,10.3978,1.4605,36.387,15.6941,1.0556,16.8303
2022/5/2,1.4913,1.9558,5.248,1.356,1.0253,6.9548,24.671,7.4391,0.8381,8.2581,7.561,378.51,15293.41,3.5277,80.497,137.2,136.63,1333.71,21.4758,4.5816,9.9248,1.6362,55.229,4.685,4.9478,,10.4035,1.4585,36.208,15.6697,1.0524,16.7383
2022/4/29,1.4699,1.9558,5.1608,1.3426,1.0229,6.9441,24.605,7.4415,0.83908,8.2703,7.5667,378.71,15301.52,3.4993,80.638,137.8,137.01,1326.71,21.4181,4.5886,9.7525,1.6119,55.2,4.678,4.9479,,10.2958,1.4545,36.026,15.6385,1.054,16.6473
2022/4/28,1.4814,1.9558,5.2465,1.3498,1.0216,6.9381,24.526,7.4421,0.8435,8.2267,7.5703,377.06,15222.05,3.5096,80.367,137.8,137.13,1337.82,21.4531,4.5741,9.899,1.6221,54.845,4.6891,4.9479,,10.3594,1.4556,36.152,15.5362,1.0485,16.7472
2022/4/27,1.4828,1.9558,5.3045,1.3572,1.0229,6.9377,24.55,7.441,0.84215,8.3045,7.565,379.74,15259.86,3.5178,81.0705,138.2,135.57,1341.98,21.6259,4.6142,9.7838,1.6118,55.195,4.7043,4.948,,10.4035,1.4602,36.331,15.6857,1.0583,16.8406
2022/4/26,1.4828,1.9558,5.249,1.3613,1.0229,6.9837,24.423,7.4393,0.84135,8.3735,7.5625,374.46,15365.76,3.5147,81.7265,138.4,136.15,1340.02,21.6538,4.6485,9.7943,1.6102,55.681,4.6466,4.9458,,10.3935,1.4666,36.596,15.7944,1.0674,16.7787
2022/4/25,1.4972,1.9558,5.1953,1.3709,1.0267,7.0398,24.418,7.4391,0.8433,8.4325,7.562,374.08,15533.84,3.5306,82.321,139.2,137.73,1344.49,21.8989,4.6815,9.7018,1.624,56.259,4.6398,4.9455,,10.3476,1.4757,36.542,15.864,1.0746,16.8549
2022/4/22,1.4816,1.9558,5.0926,1.3714,1.0336,7.0332,24.32,7.4402,0.83925,8.4859,7.5625,370.35,15603.47,3.5288,82.6943,139.8,138.83,1344.04,22.0034,4.6784,9.6255,1.6193,56.721,4.6336,4.9455,,10.278,1.4784,36.724,15.9446,1.0817,16.8652
2022/4/21,1.4653,1.9558,5.0324,1.36,1.0335,7.0228,24.38,7.4403,0.83523,8.5406,7.5635,370.6,15624.02,3.5153,82.965,139,139.61,1348.33,21.8836,4.6716,9.5788,1.6053,57.081,4.63,4.945,,10.2553,1.482,36.891,15.9983,1.0887,16.5996
2022/4/20,1.4581,1.9558,5.0481,1.3579,1.0254,6.9448,24.409,7.4405,0.82965,8.494,7.561,371.36,15537.05,3.4908,82.6348,139.2,138.53,1337.89,21.6392,4.6415,9.5443,1.595,56.747,4.6338,4.9436,,10.23,1.4779,36.567,15.8892,1.083,16.3019
2022/4/19,1.4663,1.9558,5.0261,1.3631,1.0208,6.9008,24.424,7.4391,0.82955,8.4698,7.562,374.12,15498.35,3.5038,82.6038,139.8,138.4,1339.46,21.4725,4.5961,9.5228,1.6016,56.683,4.6553,4.9411,,10.3408,1.4763,36.466,15.8416,1.0803,16.0401
2022/4/14,1.4612,1.9558,5.1226,1.3663,1.0189,6.932,24.42,7.4389,0.82908,8.5298,7.5587,376.57,15621.3,3.4896,82.814,140.4,136.32,1334.71,21.5941,4.603,9.5313,1.5957,56.759,4.6478,4.9459,,10.3008,1.4732,36.615,15.9046,1.0878,15.9331
2022/4/13,1.4603,1.9558,5.0449,1.37,1.0116,6.8939,24.45,7.4377,0.8328,8.4867,7.5538,378.45,15549.1,3.4782,82.478,140.2,136.26,1328.47,21.417,4.5799,9.5693,1.5991,56.446,4.6453,4.9415,,10.3323,1.4769,36.305,15.7992,1.0826,15.682
2022/4/12,1.4599,1.9558,5.0944,1.3724,1.0131,6.9199,24.45,7.4379,0.83455,8.5112,7.5513,377.78,15609.66,3.4972,82.7285,139.6,136.29,1335.49,21.5616,4.5972,9.5395,1.5874,56.574,4.6552,4.9417,,10.332,1.4803,36.531,15.9548,1.0861,15.849
2022/4/11,1.4654,1.9558,5.155,1.3738,1.018,6.9405,24.429,7.4375,0.83693,8.544,7.5519,378.27,15658.28,3.501,82.7085,140,137.01,1345.23,21.8653,4.6112,9.5478,1.5938,56.753,4.6456,4.9397,,10.3128,1.4874,36.613,16.0485,1.09,15.9127
2022/4/8,1.4552,1.9558,5.1583,1.3675,1.0155,6.9115,24.479,7.4372,0.83355,8.5134,7.549,375.66,15601.96,3.501,82.389,139.6,134.87,1333.12,21.8729,4.585,9.508,1.5849,55.99,4.6437,4.9425,,10.2768,1.4801,36.488,16.0237,1.0861,15.9968
2022/4/7,1.4578,1.9558,5.146,1.3704,1.0185,6.9448,24.512,7.4378,0.8345,8.5554,7.5562,379.26,15692.35,3.5259,82.951,141,135.32,1330.92,21.9806,4.6046,9.5595,1.5816,56.114,4.637,4.9419,,10.313,1.4848,36.541,16.0929,1.0916,16.052
2022/4/6,1.4431,1.9558,5.0996,1.3647,1.0187,6.9498,24.441,7.4378,0.83473,8.5617,7.547,377.77,15683.36,3.5199,82.8343,141.4,135.3,1330.44,21.8759,4.604,9.5523,1.5718,56.167,4.6328,4.9433,,10.2855,1.4844,36.701,16.0998,1.0923,15.9934
2022/4/5,1.4374,1.9558,5.0384,1.3647,1.0141,6.9783,24.338,7.4378,0.8349,8.5917,7.5399,370.93,15732.77,3.5152,82.635,141.6,134.76,1330.81,21.7474,4.6185,9.5398,1.5657,56.194,4.6265,4.9438,,10.2593,1.4867,36.697,16.15,1.0969,15.9529
2022/4/4,1.4651,1.9558,5.1162,1.3749,1.0203,7.0026,24.32,7.4385,0.8389,8.6226,7.5455,369.15,15783.89,3.5312,83.118,141.8,135.08,1338.41,21.82,4.643,9.5489,1.586,56.521,4.6375,4.9432,,10.3849,1.4938,36.894,16.183,1.1005,16.0957
2022/4/1,1.4696,1.9558,5.2188,1.3805,1.0217,7.0311,24.376,7.4388,0.84145,8.6596,7.5675,368.12,15887.5,3.5315,83.9847,142,135.35,1345.61,21.9087,4.6534,9.6628,1.5911,57.084,4.6401,4.9452,,10.332,1.4985,36.941,16.2411,1.1052,16.1685
2022/3/31,1.4829,1.9558,5.3009,1.3896,1.0267,7.0403,24.375,7.4379,0.84595,8.6918,7.574,369.77,15947,3.5243,84.134,142,135.17,1347.37,22.0903,4.6677,9.711,1.6014,57.514,4.6531,4.9463,,10.337,1.5028,36.911,16.2823,1.1101,16.1727
2022/3/30,1.4809,1.9558,5.2808,1.3891,1.0309,7.0666,24.45,7.4391,0.84563,8.7081,7.572,368.13,15957.24,3.5399,84.38,142.2,135.47,1346.97,22.1557,4.6779,9.6398,1.5947,57.906,4.6679,4.9477,,10.3498,1.5064,37.144,16.3296,1.1126,16.1288
2022/3/29,1.4795,1.9558,5.2434,1.387,1.0362,7.055,24.464,7.4388,0.8444,8.6767,7.5815,369.8,15896.31,3.5505,83.9685,142.2,136.66,1345.62,22.1561,4.6707,9.5995,1.6054,57.602,4.6594,4.9478,,10.329,1.5051,37.29,16.3275,1.1085,16.1804
2022/3/28,1.459,1.9558,5.2133,1.3702,1.0257,6.9862,24.65,7.4393,0.83643,8.5861,7.5735,374.13,15737.77,3.5313,83.4825,142.8,135.93,1342.49,21.9841,4.6238,9.5123,1.5838,57.08,4.718,4.9483,,10.4225,1.4921,37.027,16.275,1.0966,15.9925
2022/3/25,1.4624,1.9558,5.2634,1.3781,1.0207,7.0007,24.645,7.4404,0.8338,8.6117,7.5754,373.81,15777.69,3.5351,83.8235,142.2,134.07,1343.32,21.9908,4.6324,9.5205,1.5787,57.322,4.7307,4.9487,,10.3505,1.4919,36.906,16.3304,1.1002,16.0386
2022/3/24,1.4668,1.9558,5.3057,1.3806,1.0225,6.9933,24.72,7.4397,0.83288,8.5897,7.5745,374.44,15778.31,3.5461,83.879,141.2,133.71,1342.53,22.177,4.6396,9.4923,1.5812,57.426,4.7421,4.9489,,10.3555,1.4912,36.837,16.2917,1.0978,16.1478
2022/3/23,1.4728,1.9558,5.3903,1.384,1.0269,7.0003,24.605,7.4381,0.8328,8.5948,7.571,372.25,15792.11,3.5407,83.9675,141.4,132.65,1337.76,22.1978,4.6401,9.6425,1.5822,57.565,4.7052,4.9463,,10.4005,1.4919,36.965,16.3108,1.0985,16.2501
2022/3/22,1.4802,1.9558,5.4105,1.3867,1.0275,7.0137,24.679,7.4402,0.83228,8.6285,7.575,371.23,15808.01,3.5521,83.9145,142.7,132.96,1343.81,22.3667,4.6483,9.6233,1.586,57.749,4.6851,4.9463,,10.3822,1.4957,36.881,16.3432,1.1024,16.343
2022/3/21,1.4897,1.9558,5.502,1.3898,1.0278,7.0152,24.683,7.4411,0.83775,8.6387,7.5733,374.48,15826.61,3.5637,84.1835,142.7,131.57,1342.62,22.48,4.6415,9.6575,1.5997,57.817,4.696,4.947,,10.4088,1.496,37.038,16.3773,1.1038,16.4543
2022/3/18,1.4945,1.9558,5.5784,1.3911,1.0314,7.0031,24.837,7.4423,0.83925,8.6101,7.5685,375.33,15782.11,3.5761,83.7825,142.9,131.4,1337.31,22.5905,4.6157,9.694,1.6026,57.622,4.7135,4.9483,,10.4303,1.4952,36.745,16.3054,1.1008,16.5347
2022/3/17,1.5055,1.9558,5.6339,1.3998,1.0385,7.0176,24.777,7.4439,0.84315,8.6391,7.573,372.05,15835.97,3.5777,83.8435,142.1,131.27,1340.02,22.788,4.6364,9.78,1.613,57.69,4.6889,4.9465,,10.4503,1.498,36.767,16.3123,1.1051,16.5286
2022/3/16,1.5165,1.9558,5.6523,1.3967,1.0336,6.9817,24.687,7.4412,0.83988,8.5996,7.5725,371.18,15690.36,3.5872,83.7805,143.5,130.05,1353.77,22.854,4.6147,9.7988,1.6168,57.433,4.6765,4.9473,,10.4205,1.4966,36.681,16.1783,1.0994,16.5574
2022/3/15,1.5234,1.9558,5.6385,1.4099,1.0322,7.0117,24.867,7.441,0.84053,8.6026,7.575,371.41,15710.44,3.6088,83.9555,144.9,129.67,1366.05,22.9352,4.6239,9.849,1.6216,57.536,4.7355,4.9482,,10.526,1.4993,36.842,16.0968,1.0991,16.6249
2022/3/14,1.5137,1.9558,5.5286,1.3978,1.0249,6.9738,24.89,7.4405,0.83915,8.5815,7.5745,373.88,15678.53,3.586,83.931,145.1,129.3,1357.77,22.8311,4.6087,9.8588,1.613,57.398,4.7218,4.949,,10.5368,1.4947,36.59,16.2,1.096,16.5029
2022/3/11,1.5017,1.9558,5.5077,1.4024,1.023,6.9633,25.213,7.4402,0.8397,8.6007,7.5713,380.92,15696.64,3.5683,83.9875,144.9,128.46,1354.04,22.9524,4.6098,9.8033,1.6053,57.461,4.782,4.949,,10.646,1.4949,36.542,16.2554,1.099,16.4896
2022/3/10,1.5109,1.9558,5.5958,1.4189,1.027,7.0063,25.316,7.4401,0.84175,8.6688,7.5665,381.63,15824.95,3.6219,84.607,145.5,128.54,1360.48,23.3153,4.6414,9.919,1.6185,57.825,4.8239,4.9491,,10.7073,1.5058,36.71,16.574,1.1084,16.7264
2022/3/9,1.4991,1.9558,5.5201,1.4108,1.0198,6.9454,25.364,7.444,0.8357,8.5974,7.5625,379.66,15710.06,3.5978,84.2025,145.3,127.31,1357.08,23.2145,4.6028,9.798,1.6055,57.259,4.8196,4.9485,,10.734,1.4966,36.326,16.1323,1.0993,16.656
2022/3/8,1.4971,1.9558,5.5346,1.3978,1.0111,6.8805,25.642,7.4441,0.83185,8.5183,7.5715,388.28,15639.76,3.6022,83.924,145.9,126.03,1344.71,23.2866,4.5556,9.7925,1.5958,56.9,4.9103,4.9494,,10.8803,1.4856,36.156,15.8183,1.0892,16.7051
2022/3/7,1.4751,1.9558,5.5065,1.3864,1.0069,6.8846,25.584,7.4406,0.82625,8.5154,7.56,393.25,15685.76,3.5653,83.8125,145.8,125.55,1338.45,23.0249,4.5426,9.8325,1.5861,56.832,4.9525,4.9494,,10.8573,1.4831,35.866,15.6577,1.0895,16.6951
2022/3/4,1.4872,1.9558,5.5313,1.3937,1.0056,6.9065,25.737,7.4394,0.82388,8.5411,7.5584,386.54,15725.3,3.5603,83.4354,144.2,126.17,1332.23,22.7543,4.5661,9.8358,1.6005,56.814,4.853,4.9495,,10.7935,1.4872,35.776,15.5681,1.0929,16.8044
2022/3/3,1.5139,1.9558,5.6041,1.3992,1.0192,6.9996,25.634,7.4399,0.82773,8.6547,7.57,378.64,15934.42,3.5872,84.174,143.4,128.18,1334.2,22.8945,4.637,9.8418,1.6329,57.293,4.7691,4.9496,,10.7688,1.5042,36.063,15.6897,1.1076,16.8798
2022/3/2,1.5272,1.9558,5.7313,1.4088,1.0216,7.0153,25.866,7.4387,0.83316,8.6785,7.574,382.31,15980.03,3.5954,84.1765,143,128.08,1338.99,22.999,4.6595,9.8826,1.6404,57.206,4.8021,4.9493,,10.788,1.5059,36.339,15.628,1.1106,17.1904
2022/3/1,1.5365,1.9558,5.7598,1.4158,1.0247,7.0462,25.465,7.4377,0.8329,8.7234,7.567,379.6,16033.36,3.6152,84.5015,142,128.15,1342.6,22.8558,4.6802,9.8598,1.6484,57.295,4.7947,4.949,117.201,10.6893,1.515,36.505,15.5509,1.1162,17.2145
2022/2/28,1.5508,1.9558,5.7828,1.4264,1.0336,7.067,24.997,7.4404,0.8355,8.7514,7.5655,369.72,16100.72,3.63,84.554,141.8,129.31,1347.62,22.9011,4.7019,9.9465,1.6628,57.432,4.6835,4.9484,115.4842,10.6055,1.5201,36.593,15.4532,1.1199,17.2863
2022/2/25,1.5541,1.9558,5.738,1.4325,1.0398,7.0828,24.66,7.4418,0.8374,8.7578,7.5535,365.28,16088.71,3.6389,84.347,140.8,129.64,1346.44,22.9145,4.7107,9.9756,1.6651,57.549,4.6369,4.9479,92.5673,10.5848,1.5176,36.441,15.4799,1.1216,17.0315
2022/2/24,1.5593,1.9558,5.6874,1.4316,1.032,7.0601,25.09,7.4405,0.83463,8.7178,7.552,368.63,16074,3.6618,84.296,142,128.28,1347.7,22.9355,4.6896,10.0878,1.6692,57.45,4.6554,4.9501,95.7175,10.7338,1.5125,36.514,16.0525,1.1163,17.1634
2022/2/23,1.5592,1.9558,5.6808,1.4394,1.0431,7.1669,24.473,7.4388,0.83463,8.8529,7.5362,357.25,16270.12,3.6515,84.6135,141.2,130.58,1350.23,22.9079,4.748,10.0335,1.6679,57.98,4.5481,4.9468,90.8791,10.5658,1.5253,36.601,15.6871,1.1344,17.0508
2022/2/22,1.5739,1.9558,5.7677,1.4441,1.0422,7.1771,24.496,7.4392,0.83685,8.8495,7.537,355.89,16293.92,3.6584,84.758,141.2,130.54,1353.34,23.033,4.7472,10.1018,1.6848,58.208,4.5447,4.9464,89.8055,10.5996,1.5268,36.748,15.6959,1.1342,17.1768
2022/2/21,1.5751,1.9558,5.8045,1.4454,1.0387,7.1831,24.345,7.4397,0.83298,8.8443,7.536,357.54,16276.34,3.6433,84.677,141.4,130.2,1353.02,22.9951,4.7387,10.1738,1.687,58.3,4.5351,4.9448,89.0866,10.6535,1.5265,36.588,15.4689,1.1338,17.1895
2022/2/18,1.5754,1.9558,5.8435,1.4424,1.0452,7.184,24.337,7.4382,0.83425,8.8566,7.5355,356.37,16304.49,3.6276,84.6525,140.8,130.59,1356.45,23.027,4.7528,10.1465,1.6896,58.403,4.5201,4.9453,86.2815,10.5796,1.5255,36.435,15.4678,1.1354,17.0858
2022/2/17,1.5786,1.9558,5.8495,1.4439,1.0466,7.206,24.383,7.4398,0.83493,8.8692,7.533,356.08,16291.53,3.6231,85.2935,141.6,130.84,1360.7,23.0367,4.7612,10.1225,1.695,58.314,4.5065,4.9432,86.388,10.593,1.5278,36.537,15.4945,1.137,16.9893
2022/2/16,1.5859,1.9558,5.8765,1.4416,1.0516,7.2101,24.365,7.441,0.8394,8.8712,7.5295,355.65,16232.55,3.6256,85.3885,141.4,131.56,1361.31,23.1718,4.7595,10.1095,1.7108,58.346,4.4961,4.9436,85.3679,10.5363,1.5291,36.771,15.481,1.1372,17.214
2022/2/15,1.5888,1.9558,5.8977,1.4433,1.0483,7.1969,24.419,7.4422,0.83765,8.8527,7.529,355.33,16187.89,3.6596,85.443,141.2,131.18,1357.5,23.1113,4.7493,10.0893,1.7143,58.144,4.5036,4.941,85.5025,10.5739,1.5265,36.724,15.4716,1.1345,17.1767
2022/2/14,1.5902,1.9558,5.8965,1.4431,1.0472,7.1937,24.527,7.4411,0.8372,8.8283,7.5293,357.06,16190.53,3.6835,85.4715,142.6,130.6,1354.5,23.1331,4.742,10.0693,1.7112,58.114,4.54,4.9457,86.348,10.6158,1.5247,36.8,15.351,1.1316,17.131
2022/2/11,1.5927,1.9558,5.9263,1.4498,1.0557,7.2564,24.405,7.44,0.83958,8.9054,7.5312,353.38,16339.46,3.6958,85.8535,141.8,132.24,1363.68,23.3183,4.7832,10.0732,1.7085,58.482,4.5204,4.9458,85.855,10.553,1.5339,37.282,15.4066,1.1417,17.2736
2022/2/10,1.5894,1.9558,5.9668,1.4498,1.0571,7.2722,24.35,7.4404,0.84248,8.9142,7.5275,354.02,16390.21,3.6796,85.9373,141.8,132.42,1367.52,23.3584,4.7855,10.0693,1.7076,58.583,4.4921,4.9451,85.0187,10.5275,1.5345,37.331,15.4838,1.1439,17.3078
2022/2/9,1.5933,1.9558,6.0198,1.4514,1.0555,7.2759,24.288,7.4437,0.84255,8.9106,7.5285,352.94,16390.99,3.6817,85.5765,142.2,132.04,1365.72,23.4719,4.7853,10.0585,1.7107,58.603,4.5135,4.9449,85.5289,10.4075,1.5349,37.404,15.551,1.1435,17.5281
2022/2/8,1.6025,1.9558,6.0209,1.4505,1.0545,7.2636,24.259,7.4437,0.84363,8.8923,7.5215,353.09,16418.4,3.6753,85.2545,142.4,131.68,1367.88,23.5601,4.774,10.0758,1.7196,58.715,4.5312,4.945,85.7797,10.4433,1.5349,37.606,15.5558,1.1408,17.638
2022/2/7,1.6097,1.9558,6.0541,1.4546,1.0571,7.2807,24.222,7.4443,0.84685,8.9202,7.52,353.48,16478.97,3.6547,85.5345,143.4,131.59,1371.76,23.575,4.7909,10.0658,1.7278,58.978,4.5432,4.9461,86.5824,10.4483,1.5389,37.735,15.5235,1.1447,17.7
2022/2/4,1.6165,1.9558,6.083,1.4583,1.0567,7.2923,24.36,7.4432,0.84593,8.9286,7.5275,352.92,16493.16,3.6741,85.6445,142.8,131.72,1374.04,23.5856,4.7914,10.0483,1.7287,58.754,4.5474,4.9466,87.3095,10.4465,1.5419,37.797,15.5072,1.1464,17.5875
2022/2/3,1.5849,1.9558,5.9843,1.4334,1.0407,7.1795,24.135,7.4388,0.83208,8.7966,7.5295,353.94,16243.28,3.5949,84.518,142.4,129.63,1358.42,23.2359,4.7215,9.9545,1.7001,57.608,4.5315,4.9461,86.1788,10.387,1.5212,37.424,15.3047,1.1286,17.2864
